GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GK20A, 1, 2048, 1984385024, 65536, 1, 1, 852000, 1, 1
clockPerSec,1000000
FPS=2.52396
Clock = 12720863.000000, Chrono = 14851131, TimeR = 15.000000
Clock = 39620244.000000, Chrono = 76968120, TimeR = 77.000000

transTime, transClock, feedNetTime, feedNetClock, netTime, netClock
11064, 21996, 773, 775, 1240622, 1089267
11213, 21676, 791, 792, 1222551, 1090191
10077, 20002, 775, 777, 1225345, 1091628
10057, 19607, 792, 794, 1224316, 1091051
10533, 20535, 788, 791, 1232884, 1089434
10571, 20981, 864, 866, 1227930, 1089167
11555, 12296, 792, 794, 1216371, 1089373
12828, 25232, 798, 799, 1217638, 1090054
14556, 28045, 801, 803, 1223670, 1092273
10625, 21186, 834, 787, 1225541, 1089639
11508, 18784, 876, 798, 1213894, 1089182
10562, 20989, 785, 787, 1231293, 1090040
11835, 23389, 853, 855, 1212106, 1089468
11836, 13421, 769, 772, 1225235, 1089640
13223, 23455, 801, 803, 1213452, 1090739
10451, 20665, 791, 793, 1213101, 1091124
11310, 22391, 795, 797, 1215565, 1090842
10337, 20655, 799, 800, 1210494, 1090272
11995, 13967, 785, 788, 1228353, 1090040
12179, 22558, 781, 784, 1229849, 1090540
13476, 24481, 822, 825, 1208516, 1087705
10811, 21311, 835, 837, 1214251, 1088866
11717, 23414, 866, 797, 1212170, 1090397
11427, 22656, 781, 783, 1226029, 1091073
10898, 21653, 788, 790, 1213146, 1091293
11301, 12059, 773, 775, 1223009, 1092908
11787, 13942, 799, 801, 1205397, 1091061
11882, 22381, 894, 801, 1210906, 1091658
12361, 24450, 897, 789, 1219325, 1090387
11169, 16060, 821, 792, 1207304, 1089093
22606, 34752, 777, 779, 1208749, 1090304
12798, 25137, 791, 793, 1207875, 1089741
12479, 18055, 796, 798, 1206782, 1089562
10515, 19799, 792, 794, 1217510, 1088912
12492, 24537, 786, 789, 1203571, 1089639
12222, 13048, 796, 797, 1205948, 1088874
10746, 21317, 800, 803, 1200918, 1089017
10522, 20858, 824, 794, 1205084, 1088975
11294, 16978, 797, 799, 1215775, 1089331
11081, 21962, 772, 774, 1202349, 1089183
11895, 15667, 802, 804, 1204217, 1089578
12773, 14965, 843, 800, 1200618, 1088952
11003, 21815, 829, 798, 1199419, 1089595
12784, 24366, 814, 786, 1212401, 1089554
12920, 25391, 774, 775, 1202901, 1089556
12649, 20079, 788, 791, 1203901, 1089045
11395, 22660, 789, 791, 1200497, 1089479
10603, 21010, 796, 798, 1204868, 1088374
12754, 13492, 772, 774, 1214518, 1090182
14750, 25985, 801, 803, 1203028, 1089262
12431, 24249, 787, 789, 1204126, 1090188
16322, 31829, 792, 793, 1201582, 1089843
12889, 23532, 795, 797, 1204518, 1089100
13581, 26821, 789, 791, 1216563, 1089824
14004, 27522, 798, 799, 1201757, 1089240
11710, 14420, 772, 775, 1203687, 1089431
13402, 25518, 789, 791, 1205101, 1089546
13048, 24832, 791, 793, 1201638, 1089393
11455, 22762, 796, 798, 1213039, 1089000
11605, 22040, 1122, 816, 1200844, 1089141
11934, 16709, 791, 792, 1215866, 1091255
14358, 28563, 791, 793, 1197372, 1088755
12156, 23156, 793, 795, 1200347, 1088987
13645, 14594, 774, 776, 1211026, 1089600
11173, 22327, 774, 776, 1196798, 1090029
11056, 21926, 790, 792, 1197884, 1089943
16075, 20971, 844, 800, 1204114, 1090956
11341, 22527, 793, 794, 1196956, 1090216
12813, 25039, 790, 791, 1211158, 1089735
12224, 23250, 790, 792, 1200698, 1090783
12738, 25102, 790, 792, 1199140, 1092454
14203, 23913, 793, 795, 1200587, 1091542
12130, 24199, 846, 802, 1198136, 1092587
13183, 23996, 798, 799, 1210809, 1092137
21404, 31441, 763, 764, 1199892, 1091880
12666, 25208, 778, 780, 1200963, 1090477
11159, 21671, 783, 785, 1197733, 1090222
13900, 17917, 830, 832, 1190945, 1089252
GPU use = 0
clockPerSec,1000000
FPS=0.861347
Clock = 12568764.000000, Chrono = 6930724, TimeR = 6.000000
Clock = 116097283.000000, Chrono = 121034371, TimeR = 121.000000

transTime, transClock, feedNetTime, feedNetClock, netTime, netClock
11870, 11634, 1664, 1664, 1324683, 2398258
11773, 11727, 1247, 2400, 1227586, 2294650
10280, 10150, 1153, 2311, 1300617, 2419808
35391, 26932, 896, 1796, 1225595, 2294570
13261, 26043, 1167, 2338, 1244856, 2331233
10444, 20725, 874, 1753, 1203551, 1387687
11848, 23097, 867, 783, 1220274, 1091504
21932, 35028, 796, 797, 1237784, 1091842
12219, 24235, 772, 774, 1208221, 1090246
10606, 21036, 792, 794, 1207449, 1089915
11038, 21903, 785, 788, 1205067, 1090341
