Detection method: Serial
Clock = 572368319.000000, Chrono = 630752219, TimeR = 631.000000
Clock = 572368325.000000, Chrono = 630752222, TimeR = 631.000000

GPU use = 0
clockPerSec,1000000
FPS=0.873563
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
10638, 17, 1198073, 10535, 20, 1087485
11348, 16, 1201581, 11217, 20, 1089559
21601, 16, 1200759, 11091, 20, 1087679
10476, 17, 1200421, 10472, 21, 1089600
11465, 19, 1193730, 11165, 24, 1087356
10705, 16, 1199765, 10675, 20, 1088461
14716, 16, 1194152, 11262, 19, 1088335
10811, 16, 1202242, 10710, 21, 1090108
11005, 16, 1195230, 10855, 21, 1087793
10500, 16, 1199372, 10497, 20, 1088933
29641, 16, 1196433, 12356, 20, 1087982
10647, 17, 1203519, 10544, 22, 1090119
12150, 17, 1195577, 11819, 20, 1087578
11625, 16, 1198790, 11523, 21, 1088817
19206, 16, 1200986, 11804, 20, 1088548
10611, 16, 1199211, 10507, 20, 1089346
11548, 18, 1201362, 11286, 21, 1089249
11542, 16, 1205353, 11515, 21, 1087465
10449, 16, 1199183, 10421, 20, 1087385
18497, 16, 1189595, 11072, 20, 1084860
10239, 16, 1202242, 10109, 20, 1086849
13970, 16, 1206903, 10869, 19, 1086985
10127, 17, 1202029, 10124, 21, 1087096
10287, 16, 1195977, 10162, 20, 1087116
10442, 16, 1199985, 10339, 21, 1086131
11831, 16, 1261228, 11431, 20, 1100462
11386, 17, 1195875, 11205, 37, 1090650
16803, 32, 1190857, 12124, 36, 1087434
12027, 17, 1203517, 11899, 21, 1090877
18563, 16, 1214754, 12243, 20, 1087438
12029, 16, 1204938, 11923, 20, 1088520
12226, 17, 1214507, 11918, 20, 1089461
11759, 17, 1203896, 11725, 20, 1087658
12043, 17, 1215460, 11901, 21, 1088221
11839, 16, 1200906, 11674, 20, 1088653
11648, 17, 1199808, 11530, 21, 1088774
12583, 17, 1202453, 12234, 21, 1088443
12386, 17, 1208384, 11963, 20, 1088290
11480, 16, 1200680, 11333, 19, 1088839
12351, 17, 1198605, 11943, 21, 1088924
11963, 16, 1201150, 11702, 20, 1088605
12025, 16, 1206953, 11924, 20, 1087618
11898, 16, 1203100, 11895, 20, 1089402
20007, 16, 1189971, 12357, 20, 1087152
12102, 17, 1203493, 11979, 20, 1089953
19684, 16, 1198865, 12216, 19, 1088888
12092, 17, 1203593, 11952, 20, 1089166
12192, 17, 1200276, 11942, 21, 1089460
12049, 16, 1197357, 11942, 20, 1087262
12255, 17, 1202065, 11983, 21, 1090097
20018, 17, 1188208, 12367, 21, 1086754
12087, 16, 1202102, 11963, 20, 1089831
16543, 16, 1195297, 12136, 20, 1087825
11358, 16, 1199972, 11229, 20, 1088558
16187, 17, 1187913, 11588, 22, 1086090
11998, 16, 1200166, 11871, 19, 1089650
12027, 16, 1199362, 11915, 20, 1087804
11935, 16, 1198555, 11915, 19, 1089546
12011, 16, 1198545, 11908, 20, 1088168
12323, 16, 1199146, 12051, 20, 1089372
12134, 16, 1199433, 12031, 20, 1088250
12102, 17, 1200723, 11983, 20, 1090268
18430, 15, 1188031, 10771, 20, 1086337
12059, 16, 1200878, 11895, 21, 1088799
12186, 15, 1211321, 12056, 19, 1089012
11835, 16, 1201084, 11730, 20, 1088974
12113, 17, 1196931, 11991, 20, 1089287
12147, 17, 1199785, 12016, 22, 1087674
12142, 16, 1209006, 11999, 20, 1089530
10531, 16, 1198328, 10528, 20, 1087483
11944, 16, 1198991, 11941, 20, 1090225
12085, 16, 1197839, 11982, 20, 1086712
11945, 17, 1209608, 11836, 20, 1088006
16646, 17, 1185122, 12241, 21, 1084574
11916, 17, 1191349, 11800, 21, 1087684
11471, 16, 1222871, 11369, 20, 1087855
12116, 16, 1200852, 11856, 20, 1087104
13812, 16, 1218515, 12106, 20, 1085887
11916, 17, 1192336, 11810, 21, 1086422
11945, 17, 1204373, 11799, 21, 1087414
11823, 16, 1203569, 11786, 20, 1086015
12089, 17, 1196320, 11845, 21, 1088417
11989, 16, 1190537, 11849, 20, 1086604
11761, 16, 1194208, 11549, 20, 1086195
11907, 16, 1200768, 11793, 20, 1085770
12289, 17, 1196473, 12046, 22, 1087158
12413, 17, 1203933, 11983, 21, 1089333
10466, 17, 1195976, 10314, 21, 1089103
10346, 16, 1202650, 10311, 20, 1087557
12188, 17, 1195157, 11954, 21, 1090126
11986, 16, 1191846, 11957, 20, 1088130
11426, 16, 1192163, 11265, 21, 1089270
10695, 17, 1208711, 10659, 21, 1088636
11550, 16, 1193209, 11391, 20, 1089989
11779, 16, 1194632, 11675, 20, 1087481
11951, 17, 1198691, 11885, 21, 1090952
11430, 17, 1207333, 11328, 20, 1087370
10862, 17, 1197262, 10735, 21, 1089679
19660, 16, 1186459, 12379, 21, 1086715
11738, 16, 1195893, 11330, 20, 1090671
11147, 16, 1207077, 11044, 20, 1088190
11967, 16, 1196744, 11844, 20, 1089596
13834, 17, 1192869, 10738, 21, 1087504
11507, 16, 1199439, 11504, 20, 1091696
11405, 16, 1208737, 11302, 20, 1087171
10976, 17, 1196225, 10829, 20, 1089996
19575, 17, 1189246, 12408, 21, 1087233
10950, 16, 1197853, 10826, 21, 1089998
18528, 16, 1208190, 11432, 20, 1087839
11621, 16, 1196672, 11520, 20, 1088160
11952, 16, 1196676, 11550, 20, 1088743
11271, 17, 1196149, 11122, 21, 1088182
12201, 18, 1213513, 11622, 23, 1091140
14623, 16, 1193198, 11344, 20, 1087655
11604, 17, 1198032, 11232, 21, 1089805
18620, 17, 1185716, 11396, 21, 1086714
11505, 17, 1209117, 11308, 20, 1088783
11693, 17, 1192459, 11381, 20, 1086776
11157, 17, 1197477, 11138, 21, 1088780
12104, 18, 1189783, 11764, 21, 1085368
10900, 17, 1209963, 10873, 21, 1086510
11081, 16, 1193872, 10899, 21, 1087291
11207, 17, 1197738, 11170, 20, 1086867
11176, 16, 1194649, 11138, 20, 1085172
12136, 18, 1198083, 11673, 22, 1087950
11600, 16, 1195096, 11566, 21, 1086957
11354, 16, 1202253, 11029, 20, 1087897
11866, 16, 1193561, 11746, 21, 1085355
11704, 17, 1195394, 11577, 21, 1087776
16540, 16, 1188031, 11737, 20, 1085472
11027, 16, 1194655, 10895, 20, 1087572
11853, 16, 1193239, 11720, 20, 1085305
11822, 16, 1195670, 11700, 20, 1087505
19514, 17, 1186322, 12172, 21, 1085075
11613, 17, 1194261, 11588, 20, 1086890
16513, 16, 1190578, 11638, 20, 1085292
11224, 17, 1194877, 11103, 21, 1087283
18570, 18, 1185782, 11642, 21, 1085112
11614, 17, 1196398, 11494, 20, 1088203
18444, 16, 1185671, 11421, 20, 1085613
11707, 16, 1195068, 11704, 20, 1086892
13335, 15, 1182843, 11823, 19, 1084385
11201, 32, 1194137, 11090, 36, 1087920
19218, 16, 1180597, 12114, 20, 1085056
10732, 18, 1195691, 10619, 21, 1088320
