mode: serial True, gpu False
GPU use = False
transTime, feedNetTime, netTime
mode: serial True, gpu False
GPU use = False
transTime, feedNetTime, netTime
4328.489303588867, 1067.6383972167969, 296941.51878356934
2604.961395263672, 332.3554992675781, 239901.78108215332
3769.397735595703, 279.1881561279297, 249556.0646057129
2971.172332763672, 196.4569091796875, 235473.3943939209
3658.294677734375, 249.8626708984375, 228050.47035217285
3134.2506408691406, 334.9781036376953, 218704.4620513916
3108.501434326172, 306.6062927246094, 213583.70780944824
3561.735153198242, 197.6490020751953, 223166.94259643555
3998.7564086914062, 229.5970916748047, 226625.2040863037
5052.804946899414, 272.0355987548828, 235124.1111755371
3117.5613403320312, 212.19253540039062, 229272.60398864746
3211.2598419189453, 207.42416381835938, 229940.41442871094
3174.304962158203, 312.3283386230469, 230121.37413024902
3266.3345336914062, 214.3383026123047, 228713.5124206543
3219.127655029297, 212.4309539794922, 228209.9723815918
3191.709518432617, 211.47727966308594, 229435.68229675293
3167.6292419433594, 185.25123596191406, 229206.80046081543
5068.540573120117, 272.2740173339844, 229766.3688659668
3274.202346801758, 202.178955078125, 228557.34825134277
----------------

