Detection method: Serial
Clock = 343952332.000000, Chrono = 387812312, TimeR = 387.000000
Clock = 343952338.000000, Chrono = 387812315, TimeR = 387.000000

GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GK20A, 1, 2048, 1984385024, 65536, 1, 1, 852000, 1, 1
clockPerSec,1000000
FPS=0.872214
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
12030, 17, 1233335, 11661, 21, 1089708
11698, 18, 1216000, 11672, 22, 1091509
21696, 17, 1237587, 11850, 21, 1086904
11708, 17, 1242344, 11385, 22, 1086085
11786, 17, 1201198, 11641, 22, 1088210
12037, 17, 1236763, 11431, 21, 1089899
11677, 18, 1211431, 11121, 21, 1092512
18625, 18, 1230572, 11790, 21, 1086742
21994, 17, 1231512, 11951, 21, 1086537
10648, 18, 1240035, 10560, 22, 1088709
11743, 17, 1224772, 11637, 20, 1086803
11729, 17, 1237005, 11626, 22, 1087712
11720, 17, 1216163, 11615, 22, 1091968
12098, 33, 1232522, 11723, 37, 1089112
12437, 18, 1234355, 12097, 22, 1088264
21076, 17, 1209752, 10883, 22, 1089147
11728, 17, 1252828, 11620, 21, 1087849
11751, 17, 1219705, 11626, 21, 1090032
11744, 17, 1231104, 11662, 21, 1088916
12418, 17, 1249403, 12030, 21, 1088392
12300, 19, 1211709, 11845, 22, 1091123
22551, 17, 1232455, 12122, 22, 1086763
10796, 18, 1244624, 10671, 22, 1086195
13638, 19, 1210505, 13575, 24, 1087712
11741, 17, 1236777, 11656, 21, 1086416
11717, 17, 1241283, 11614, 22, 1088305
11724, 18, 1203152, 11580, 21, 1092842
15543, 17, 1235358, 11720, 20, 1089036
12670, 18, 1203305, 11948, 22, 1091204
10565, 17, 1241328, 10527, 22, 1086230
11749, 17, 1256409, 11645, 22, 1086332
11665, 17, 1205875, 11630, 20, 1090879
11172, 18, 1234541, 11041, 22, 1088541
11073, 17, 1248657, 10802, 20, 1090226
14021, 18, 1211796, 12994, 20, 1086218
11206, 17, 1241330, 11078, 21, 1086543
10784, 17, 1235532, 10656, 22, 1086463
10759, 18, 1223932, 10659, 22, 1094277
10909, 18, 1236327, 10778, 23, 1089097
10816, 17, 1205707, 10790, 22, 1091939
10654, 17, 1242530, 10546, 22, 1086432
11311, 17, 1257651, 10883, 21, 1086350
10523, 17, 1211638, 10520, 21, 1089345
11509, 17, 1232924, 11347, 22, 1089807
10552, 17, 1240577, 10405, 22, 1091286
11394, 18, 1221215, 11391, 22, 1087442
21198, 17, 1232937, 11434, 22, 1085713
11040, 17, 1244919, 10936, 21, 1087297
11731, 20, 1208797, 11727, 29, 1088269
10684, 17, 1232260, 10657, 21, 1087640
10912, 17, 1215201, 10811, 21, 1090673
10850, 17, 1244974, 10479, 21, 1088323
11280, 18, 1239360, 11175, 22, 1089067
10742, 18, 1214799, 10716, 21, 1092821
21320, 18, 1229027, 11152, 22, 1087040
11481, 17, 1229979, 11335, 21, 1088625
10742, 17, 1233550, 10740, 22, 1087521
11220, 18, 1243789, 11113, 22, 1089179
10342, 17, 1246027, 10219, 21, 1088907
10666, 18, 1221839, 10665, 22, 1089719
21159, 35, 1239998, 11357, 39, 1088034
19681, 17, 1217971, 10903, 21, 1090382
11164, 17, 1250984, 11056, 21, 1087173
10603, 17, 1248342, 10600, 21, 1087979
11624, 17, 1224045, 11621, 22, 1090418
11610, 17, 1260921, 11584, 20, 1091376
11773, 17, 1220072, 11662, 22, 1091034
11775, 18, 1232395, 11651, 21, 1088127
10662, 17, 1226973, 10526, 21, 1087941
19763, 16, 1227570, 11911, 20, 1093604
21715, 17, 1265256, 11703, 22, 1091489
11953, 17, 1279492, 11407, 20, 1092057
10760, 18, 1269208, 10260, 22, 1092567
12326, 18, 1273896, 11655, 21, 1090554
13317, 16, 1270328, 11241, 20, 1093262
11046, 17, 1260314, 10884, 22, 1095868
11196, 17, 1260521, 10602, 21, 1089467
14193, 18, 1196567, 11394, 23, 1104566
11750, 16, 1222576, 11425, 21, 1078651
10903, 16, 1213992, 10803, 21, 1080849
11911, 17, 1209261, 11598, 22, 1080347
11518, 17, 1207902, 11361, 21, 1078276
11397, 17, 1235713, 11340, 21, 1081312
11111, 17, 1191915, 11108, 22, 1078764
11497, 17, 1209168, 11398, 21, 1079707
11783, 17, 1216398, 11572, 21, 1078058
11371, 17, 1222551, 11369, 21, 1082685
11412, 17, 1217892, 11409, 21, 1080196
11526, 17, 1204520, 11397, 20, 1081833
9994, 17, 1207301, 9992, 21, 1078115
11439, 17, 1211975, 11326, 21, 1080464
11818, 17, 1198685, 11518, 42, 1079956
11533, 17, 1207074, 11366, 21, 1078375
10997, 17, 1239267, 10883, 22, 1081411
10462, 17, 1195556, 10459, 21, 1078041
11691, 17, 1207569, 11434, 22, 1079416
11166, 17, 1213586, 11049, 21, 1080478
10236, 17, 1229931, 10135, 22, 1080477
10281, 17, 1207615, 10175, 21, 1078685
10565, 17, 1210596, 10466, 22, 1082782
20653, 16, 1206407, 11571, 21, 1078386
10362, 17, 1219906, 10298, 36, 1078582
11355, 17, 1215941, 11353, 22, 1081058
19481, 17, 1201178, 10449, 21, 1078031
11466, 18, 1208668, 11366, 21, 1078789
24955, 18, 1198009, 11767, 21, 1083494
10986, 17, 1203543, 10775, 21, 1078035
10428, 17, 1210951, 10323, 21, 1079998
17926, 19, 1216269, 11573, 25, 1083273
10461, 16, 1208627, 10295, 20, 1078500
11068, 17, 1200221, 11066, 20, 1081095
16247, 17, 1198151, 10818, 21, 1078356
10463, 16, 1235775, 10362, 20, 1079643
10355, 17, 1203102, 10241, 21, 1081616
17331, 19, 1203394, 11247, 23, 1077132
10265, 17, 1208746, 10102, 21, 1078077
10261, 17, 1215180, 10157, 21, 1081919
20417, 17, 1206484, 11463, 21, 1077901
11254, 16, 1209173, 11251, 21, 1079057
11457, 18, 1211888, 11358, 22, 1082400
31457, 17, 1213436, 11584, 20, 1078767
10285, 17, 1199613, 10178, 21, 1079272
11362, 17, 1208832, 11359, 21, 1080007
13290, 16, 1217830, 11348, 20, 1079500
10537, 16, 1201529, 10269, 20, 1079856
10388, 17, 1208209, 10289, 22, 1080527
20665, 17, 1208180, 11601, 21, 1078518
11591, 17, 1210321, 11428, 21, 1080587
13590, 17, 1202495, 10458, 21, 1078390
10148, 17, 1210263, 10145, 22, 1080017
10604, 17, 1208380, 10292, 21, 1080182
10642, 17, 1219243, 10638, 20, 1079379
11057, 17, 1208016, 10957, 21, 1082045
11219, 17, 1203955, 10918, 21, 1078885
10833, 17, 1203639, 10736, 20, 1078205
10291, 17, 1222823, 10189, 21, 1084431
12733, 21, 1193806, 12538, 25, 1140220
11595, 18, 1207840, 11592, 23, 1127240
11539, 17, 1181407, 10907, 21, 1090168
10661, 35, 1224425, 10557, 39, 1086168
10169, 18, 1226493, 10166, 22, 1087761
13285, 18, 1217261, 10432, 22, 1089149
10792, 17, 1242675, 10474, 21, 1087339
11295, 18, 1219743, 11072, 21, 1089309
18740, 17, 1229401, 10547, 22, 1105396
12148, 17, 1250542, 11211, 21, 1088131
10312, 17, 1226655, 10090, 21, 1088453
11052, 17, 1237050, 10951, 22, 1087316
11101, 17, 1232942, 10946, 21, 1088707
11333, 18, 1229537, 11051, 22, 1091998
10588, 17, 1230887, 10524, 21, 1089703
10938, 36, 1236055, 10661, 20, 1089148
21230, 18, 1234587, 10981, 22, 1091978
11033, 17, 1243906, 11030, 22, 1088033
10570, 17, 1236052, 10464, 21, 1088724
10775, 18, 1230732, 10332, 22, 1086875
10833, 18, 1254710, 10731, 22, 1089118
10378, 18, 1225886, 10351, 38, 1089501
10248, 18, 1233961, 10146, 22, 1089983
10361, 17, 1283023, 10333, 21, 1089348
11272, 17, 1213781, 11166, 21, 1089329
10343, 18, 1228944, 10238, 21, 1090010
10957, 18, 1234296, 10511, 22, 1091207
10923, 18, 1234372, 10717, 22, 1093297
10720, 17, 1231246, 10559, 21, 1090449
11057, 18, 1226971, 10658, 22, 1091468
20554, 17, 1234576, 11021, 22, 1088987
10743, 17, 1236052, 10632, 22, 1087512
10450, 18, 1213071, 10229, 22, 1090170
10640, 17, 1225939, 10453, 21, 1089665
15923, 17, 1227645, 10759, 21, 1091293
11274, 17, 1226604, 11271, 22, 1087513
----------------

