transTime,feedNet,netTime
clockPerSec: ,1000000
11613,192,54845
21498,182,52159
15720,189,54467
11652,196,51846
3500,187,55386
11984,189,52248
11480,186,54427
11559,173,53332
15580,192,51932
13564,200,50592
3915,200,56222
12252,219,52496
11043,173,55074
19200,193,54270
13062,198,58034
11658,195,55069
11678,166,53606
13538,170,53345
10834,199,55564
3525,188,48505
3489,185,56844
11491,176,53385
11830,167,53322
11570,175,51799
11670,183,53561
13524,190,54797
17258,191,55400
11882,197,55580
11724,175,54710
11616,173,55794
11334,187,54888
11604,188,53522
11703,187,52922
13523,197,55477
11091,193,53328
11554,236,52278
11672,169,52203
12408,177,57084
15987,203,52529
11736,190,53433
12167,184,55048
11702,176,54512
11740,195,55172
11511,189,54892
11488,186,53333
13262,192,53076
12598,185,55518
14789,174,53563
11637,171,52126
16441,199,53582
8196,188,50527
3615,195,57492
12328,172,52313
15623,194,54332
11185,167,55517
11792,204,54366
11100,191,54387
6012,188,53403
12194,174,53116
15159,171,56904
13475,184,54696
11559,212,50522
11547,189,53624
11566,183,53613
12141,170,51747
15697,195,55615
13469,165,52787
14845,189,51875
13485,194,53322
11932,199,57307
11438,172,54258
11680,192,56235
11489,193,53321
3698,192,51636
13571,193,58215
11879,193,55755
21494,166,52034
11607,191,53933
14686,190,52240
14766,194,52160
12981,190,56925
13711,188,52891
11557,195,52360
11524,207,54698
13519,175,55625
11648,200,53139
3799,184,56130
11773,194,53337
13453,207,51983
10523,227,57086
13588,185,54690
23309,213,52068
17376,208,58210
21428,186,52146
17104,187,52653
11596,189,50800
11602,190,54280
17597,222,55700
15263,185,51998
11909,202,53162
14071,176,57342
13653,192,54730
11664,189,54910
11060,194,55551
11967,187,52223
8559,198,53787
13424,198,52067
12859,207,51979
15955,165,51714
11688,179,55373
25326,188,52275
12070,194,52700
11522,168,54355
9032,180,54768
13488,184,54815
17189,177,56838
23764,168,48569
21199,211,53414
15645,193,53401
12892,192,52878
12525,171,56896
11584,200,52366
13854,189,53525
11528,194,52335
16120,166,52111
11504,178,52114
3603,187,57469
12194,196,52184
15300,186,52930
10159,193,53963
22334,218,54821
15229,191,54732
11722,188,56910
12592,191,51692
16244,189,51848
12865,175,58999
11531,189,51790
10150,176,55672
13694,198,51864
3550,198,50989
11633,192,55039
11528,187,55136
11583,193,52079
15444,190,54788
11624,217,55739
13614,173,52168
11393,174,54333
11645,203,54359
11521,188,55036
11579,187,53323
11615,188,51817
14802,202,56811
11591,190,53420
17645,167,51940
12744,170,52216
11630,183,54098
13251,184,54527
12445,186,51522
19140,193,54114
19231,172,56665
17365,196,53617
29107,213,58598
25484,194,52404
15519,170,53081
21730,187,53551
9443,187,54778
11572,186,53159
13841,190,51943
12072,191,53648
24794,183,51973
13451,190,50538
11569,192,57620
13661,171,52267
12949,189,54413
11708,193,57401
10135,170,53519
11576,172,58313
20590,194,52369
11559,167,53131
