mode: serial False, gpu False,,,,,,
GPU use = False,,,,,,,
gpuStart, gpuEnd, cpuStart, cpuEnd,,,,
1.57829349480842E+015,1.57829349486556E+015,1.5782934945357E+015,1.57829349480006E+015,,57136,264359,-272720.75
1.57829349506597E+015,1.57829349511459E+015,1578293494800328,1.57829349500748E+015,,48619,207156.75,-265642.25
1578293495315005,1.57829349536278E+015,1.57829349500838E+015,1578293495205068,,47778.25,196687.5,-306624.5
1.57829349556319E+015,1578293495624063,1578293495205191,1.5782934954012E+015,,60875.5,196012.25,-357996.5
1.57829349562421E+015,1.57829349567053E+015,1578293495402081,1.57829349559349E+015,,46324.5,191406.75,-222125.25
1578293495871025,1.57829349591515E+015,1.57829349559483E+015,1.57829349578084E+015,,44126.75,186016.75,-276198.5
1.57829349611569E+015,1.57829349616339E+015,1578293495782001,1.57829349596559E+015,,47701,183591.25,-333689.25
1578293496163620,1.57829349621163E+015,1.57829349596581E+015,1578293496149046,,48008.25,183236.75,-197810.75
1.57829349641207E+015,1.57829349645658E+015,1.57829349615024E+015,1.57829349633085E+015,,44507.5,180617,-261833.5
1.57829349665735E+015,1.57829349671302E+015,1.57829349633103E+015,1.57829349651574E+015,,55667.75,184706.25,-326316.25
----------------,,,,,,,
mode: serial False, gpu False
GPU use = False
gpuStart, gpuEnd, cpuStart, cpuEnd
1578294019770250.0, 1578294019824058.0, 1578294019373755.2, 1578294019592764.0
1578294019824253.2, 1578294019870254.5, 1578294019592964.5, 1578294019781433.5
1578294020070727.8, 1578294020115839.0, 1578294019781631.5, 1578294019972350.5
1578294020316247.8, 1578294020366542.5, 1578294019972541.8, 1578294020161318.8
1578294020367000.2, 1578294020415837.5, 1578294020161517.2, 1578294020352486.8
1578294020616369.2, 1578294020673869.2, 1578294020353493.2, 1578294020549237.2
1578294020874407.2, 1578294020920075.2, 1578294020550390.0, 1578294020750089.5
1578294021120488.5, 1578294021171835.2, 1578294020750262.5, 1578294020941503.8
1578294021172039.8, 1578294021225258.5, 1578294020942379.0, 1578294021131716.2
1578294021425856.8, 1578294021471977.2, 1578294021131826.2, 1578294021327823.5
1578294021672510.0, 1578294021719582.0, 1578294021328763.2, 1578294021518952.0
1578294021719672.0, 1578294021769207.0, 1578294021519801.8, 1578294021709033.5
1578294021969665.0, 1578294022024963.8, 1578294021709245.8, 1578294021906378.8
1578294022225370.2, 1578294022275273.8, 1578294021907393.2, 1578294022111539.0
1578294022475835.8, 1578294022527308.2, 1578294022112535.8, 1578294022324085.5
1578294022727870.0, 1578294022778748.5, 1578294022324264.0, 1578294022539643.2
1578294022778945.8, 1578294022829972.0, 1578294022540625.8, 1578294022760322.5
1578294023030511.5, 1578294023090136.0, 1578294022760508.2, 1578294022972325.5
1578294023290658.8, 1578294023368021.8, 1578294022972637.5, 1578294023172594.8
1578294023568468.8, 1578294023624543.2, 1578294023172835.5, 1578294023397077.8
1578294023825002.5, 1578294023879922.8, 1578294023398219.5, 1578294023645470.5
1578294023880347.5, 1578294023942326.5, 1578294023646356.8, 1578294023857269.8
1578294024142771.2, 1578294024194131.2, 1578294023858558.5, 1578294024089568.8
1578294024394705.0, 1578294024441226.8, 1578294024090458.2, 1578294024293760.5
1578294024641644.2, 1578294024688821.5, 1578294024293959.8, 1578294024486144.5
