Detection method: Serial
Clock = 344535258.000000, Chrono = 379613201, TimeR = 380.000000
Clock = 344535263.000000, Chrono = 379613204, TimeR = 380.000000

GPU use = 0
clockPerSec,1000000
FPS=0.870738
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
10408, 17, 1185290, 10406, 21, 1089107
12186, 17, 1173508, 10673, 39, 1087531
10604, 18, 1182636, 10485, 22, 1091393
10533, 17, 1189820, 10429, 22, 1087783
10379, 17, 1184514, 10377, 20, 1089910
10483, 16, 1181816, 10435, 21, 1089957
10375, 17, 1180207, 10372, 21, 1087883
10620, 16, 1188992, 10434, 20, 1088466
10498, 16, 1181754, 10398, 20, 1090033
13549, 17, 1181297, 10497, 22, 1088868
11309, 19, 1172250, 10621, 23, 1087612
10389, 33, 1184021, 10371, 37, 1090409
10711, 17, 1193201, 10391, 21, 1089063
11081, 19, 1171567, 10622, 23, 1087117
10546, 17, 1184534, 10429, 21, 1091330
10633, 17, 1181692, 10500, 21, 1088344
13589, 18, 1184077, 10984, 23, 1088296
10573, 17, 1184604, 10470, 21, 1091415
10403, 17, 1179198, 10297, 21, 1087015
13189, 33, 1170874, 10861, 37, 1085954
10490, 17, 1190674, 10339, 21, 1088842
10404, 17, 1179471, 10298, 20, 1087994
16515, 18, 1175823, 10785, 22, 1086091
10484, 17, 1179189, 10361, 22, 1088665
10425, 17, 1181613, 10289, 21, 1087290
19994, 36, 1180230, 10750, 40, 1086391
10288, 17, 1180246, 10285, 21, 1089060
10505, 16, 1183636, 10400, 21, 1087610
16960, 17, 1174037, 10971, 21, 1086669
10597, 17, 1190475, 10284, 21, 1089323
10681, 17, 1183077, 10576, 21, 1086682
16918, 17, 1191792, 11284, 21, 1095498
11313, 19, 1129852, 11310, 23, 1100329
10883, 18, 1193301, 10471, 22, 1089325
10579, 17, 1182583, 10473, 21, 1088445
17048, 17, 1182899, 10797, 21, 1087088
10753, 18, 1201579, 10480, 21, 1091459
10857, 17, 1181605, 10855, 21, 1087117
11066, 17, 1185677, 10719, 20, 1088215
10441, 17, 1183434, 10439, 20, 1088032
17159, 17, 1179897, 10880, 22, 1087277
10683, 16, 1205836, 10558, 20, 1088656
10433, 17, 1197923, 10429, 22, 1086440
10801, 17, 1187844, 10776, 21, 1089106
11070, 16, 1187952, 10733, 20, 1088528
10938, 18, 1180341, 10677, 21, 1087076
10588, 18, 1196524, 10464, 22, 1088408
17402, 18, 1174310, 11350, 22, 1086553
10645, 17, 1186841, 10525, 21, 1088496
10603, 18, 1201360, 10461, 22, 1088765
11167, 19, 1198546, 10697, 24, 1089401
10863, 17, 1182762, 10426, 20, 1087450
