Detection method: Pipeline
Clock = 37185088.000000, Chrono = 20211673, TimeR = 20.000000
Clock = 347643374.000000, Chrono = 369793215, TimeR = 369.000000

GPU use = 0
clockPerSec,1000000
FPS=0.862953
transTime, feedNetTime, netTime, thread#1, thread#2, transClock, feedNetClock, netClock
23207, 799, 1239394, 75578, 1240367, 34930, 800, 1093300
12062, 1814, 1232684, 60747, 1234681, 24106, 1129, 1091787
12077, 803, 1231353, 73309, 1232331, 23971, 804, 1095059
21250, 830, 1247218, 72285, 1248228, 32400, 806, 1093241
12191, 841, 1227573, 57147, 1228589, 24155, 790, 1091124
11964, 807, 1225358, 71124, 1226322, 23753, 809, 1096068
24338, 827, 1231860, 72985, 1232859, 36311, 830, 1093354
11632, 791, 1243361, 53920, 1244334, 22898, 794, 1090853
11090, 823, 1232799, 71640, 1233800, 22014, 816, 1091786
22485, 801, 1225012, 72308, 1225988, 33722, 804, 1095884
11255, 788, 1234190, 72093, 1235156, 22353, 791, 1094006
11619, 883, 1247708, 89761, 1248770, 21796, 796, 1092392
12795, 846, 1228287, 79361, 1229328, 25500, 848, 1091934
13731, 789, 1238405, 60166, 1239378, 27437, 792, 1094656
12347, 792, 1223508, 86617, 1224474, 24602, 795, 1093215
11791, 785, 1240514, 69148, 1241473, 23503, 787, 1091143
10509, 795, 1244413, 61142, 1245381, 20805, 797, 1093828
27101, 791, 1234859, 95889, 1235835, 40286, 793, 1093596
10738, 795, 1238284, 68035, 1239261, 21422, 797, 1090275
10574, 795, 1232256, 75006, 1233238, 21027, 797, 1092381
11066, 792, 1245429, 83342, 1246392, 21994, 795, 1095428
11560, 801, 1237874, 81225, 1238853, 22715, 803, 1091929
11257, 1125, 1250650, 61902, 1251928, 22245, 866, 1093947
11393, 798, 1217829, 92646, 1218819, 22653, 799, 1096362
10788, 778, 1241450, 77696, 1242402, 21518, 780, 1091220
10675, 810, 1247408, 67978, 1248399, 21170, 812, 1091973
11430, 885, 1219005, 59925, 1220064, 22671, 800, 1096635
11928, 787, 1234830, 69840, 1235805, 23835, 789, 1093419
11453, 796, 1233280, 69904, 1234271, 22544, 799, 1093356
12285, 938, 1252290, 60961, 1253402, 24503, 895, 1094802
16184, 1285, 1250998, 76401, 1252530, 31989, 802, 1091386
10817, 929, 1230715, 69916, 1231823, 21449, 826, 1091110
12929, 796, 1233003, 61195, 1233968, 25638, 798, 1093884
12268, 787, 1240665, 74425, 1241635, 24348, 789, 1091054
12189, 797, 1235839, 129272, 1236915, 23820, 799, 1091224
12396, 800, 1230894, 71005, 1231873, 24577, 802, 1092016
12992, 808, 1243215, 84441, 1244199, 25272, 809, 1095690
26097, 798, 1260246, 69947, 1261236, 36423, 800, 1094773
10375, 902, 1230130, 57361, 1231210, 20627, 806, 1092965
11150, 797, 1228724, 72271, 1229697, 22159, 800, 1092609
24267, 802, 1241406, 69463, 1242388, 36000, 804, 1091083
10647, 785, 1241617, 59780, 1242576, 21007, 787, 1092024
11511, 795, 1241625, 79500, 1242610, 22818, 797, 1092925
15395, 778, 1232715, 75422, 1233676, 29706, 780, 1091233
11723, 1556, 1227581, 57745, 1229332, 23169, 885, 1092303
10482, 777, 1224137, 73380, 1225090, 20894, 780, 1093927
12721, 834, 1234098, 72182, 1235103, 24940, 813, 1091640
10359, 792, 1227066, 56587, 1228036, 20701, 793, 1091231
11379, 847, 1215057, 68243, 1216082, 22635, 849, 1090976
29425, 802, 1217282, 71390, 1218259, 41860, 804, 1091222
11869, 793, 1215982, 53837, 1216955, 23246, 795, 1091558
10921, 803, 1226147, 80752, 1227126, 21485, 806, 1094378
29623, 787, 1213380, 72750, 1214358, 34228, 789, 1093806
10590, 781, 1219549, 58210, 1220508, 21159, 784, 1094750
10542, 794, 1216091, 57089, 1217066, 21061, 797, 1092950
11199, 790, 1208878, 53870, 1209843, 22376, 792, 1091582
13329, 775, 1230049, 58332, 1231000, 26636, 777, 1090622
12090, 837, 1216947, 70853, 1217961, 23697, 838, 1094211
11008, 860, 1208391, 55517, 1209433, 21886, 814, 1091864
10373, 777, 1211598, 67570, 1212555, 20710, 780, 1092041
17943, 798, 1240651, 68999, 1241624, 28812, 800, 1095477
16443, 774, 1207056, 61966, 1208022, 32654, 777, 1091819
11079, 782, 1224866, 72987, 1225847, 22122, 812, 1093408
11076, 773, 1194134, 73586, 1195101, 21812, 776, 1093047
12290, 776, 1206085, 58875, 1207028, 24515, 778, 1090936
10846, 772, 1217901, 72059, 1218899, 21569, 775, 1091840
24640, 774, 1220752, 84550, 1221704, 36099, 778, 1092724
11106, 786, 1211498, 60300, 1212510, 22091, 788, 1091795
10638, 795, 1209028, 63260, 1209997, 21155, 797, 1093501
11368, 797, 1207869, 68442, 1208855, 22227, 799, 1091672
11585, 778, 1220403, 54637, 1221358, 22984, 780, 1092806
12551, 796, 1214275, 69788, 1215252, 24917, 798, 1094094
12357, 796, 1215862, 77300, 1216834, 24496, 798, 1094021
10593, 798, 1209781, 49675, 1210840, 21133, 800, 1093118
10640, 833, 1214798, 66583, 1215804, 21239, 804, 1093828
23270, 797, 1217784, 67831, 1218793, 35740, 798, 1091338
10756, 779, 1203830, 54617, 1204786, 21392, 781, 1091321
12164, 790, 1228163, 69568, 1229108, 23810, 793, 1092077
21578, 816, 1199831, 68803, 1200843, 33247, 818, 1092918
11371, 835, 1218435, 61344, 1219450, 22670, 837, 1091722
12944, 828, 1213247, 74582, 1214250, 25703, 830, 1094786
34004, 793, 1210365, 82258, 1211334, 48485, 795, 1092909
10871, 787, 1213019, 70502, 1213982, 21620, 789, 1093918
12255, 797, 1218131, 69995, 1219097, 24316, 799, 1095209
12481, 783, 1221632, 75100, 1222599, 24920, 786, 1092439
11182, 796, 1225633, 55831, 1226615, 22238, 798, 1092781
10804, 777, 1225493, 70742, 1226453, 21342, 779, 1093483
12513, 829, 1210783, 71260, 1211792, 24149, 831, 1090678
10429, 906, 1216149, 53953, 1217230, 20730, 908, 1093170
11033, 790, 1239321, 70252, 1240286, 21927, 792, 1094455
11817, 851, 1215505, 69327, 1216535, 23306, 805, 1093286
10673, 803, 1235567, 53150, 1236545, 21226, 806, 1093403
11275, 2358, 1196805, 66225, 1199341, 22288, 893, 1091194
21856, 807, 1219427, 66401, 1220419, 33380, 808, 1090883
11199, 5695, 1220637, 50383, 1226506, 22261, 856, 1091400
12060, 794, 1220226, 64711, 1221194, 23336, 795, 1093836
14895, 790, 1219368, 60232, 1220346, 29300, 792, 1093886
12687, 796, 1218445, 77302, 1219505, 24934, 799, 1096786
11085, 806, 1230227, 66750, 1231212, 21727, 807, 1092025
12626, 861, 1231684, 62223, 1232713, 25064, 815, 1091592
